% Model:              surface_mount_package.mph
% Version:            COMSOL 6.2.0.290
% Date:               May 26 2026, 01:45
% Dimension:          3
% Nodes:              4419
% Expressions:        1
% Description:        Temperature
% Length unit:        mm
% X                       Y                        Z                        T (K)
10                        3.778596701849607        -1.3521342475538296      303.1567055931783
9.036924753490032         3.9550118255451934       -1.9                     303.1584364079932
9.063040768766722         3.966419089819333        -0.9                     303.1583292587916
10                        5                        -1.9                     303.1554392415222
10                        5                        -0.9                     303.15546425612376
10                        3.571428571428573        -1.9                     303.1565785504895
10                        3.571428571428573        -0.9                     303.1565667439742
8.46423472021084          5                        -1.9                     303.1594631146129
8.389893450670382         5                        -0.9                     303.1598213928359
4.645000000000001         2.6900000000000004       -0.9                     303.3885087209826
4.852689149056705         2.752822417413397        -0.9                     303.2773122438894
4.783090898095264         2.4747208273633836       -0.8999999999999999      303.2730800812024
4.714687489693038         2.8206946698824416       -1.1499999999999984      303.28755754840523
4.645000000000001         2.8500000000000005       -0.9                     303.3882288367982
4.8052447446000235        3.043057776269524        -0.9                     303.2697807811624
5.0418551564574425        2.967183553735448        -0.9000000000000001      303.2485506435019
4.445000000000001         2.690000000000001        -0.9000000000000002      303.3886701472219
4.445000000000001         2.850000000000001        -0.9000000000000002      303.3884801045497
4.496680427425381         2.7121711324528213       -1.0171874999999968      303.3364430003133
4.345000000000001         2.770000000000001        -0.9000000000000002      303.3886110268987
4.245000000000001         2.6900000000000004       -0.9                     303.3885635953561
4.348360854850766         2.7343422649056457       -1.1343749999999988      303.32208536794127
4.245000000000001         2.8500000000000005       -0.9                     303.38836830737927
4.273969456860799         2.953665200141618        -1.1187500000000037      303.31782012274203
4.353443249259367         2.431501141301551        -0.8999999999999999      303.3072074064952
4.422752252840732         2.515019329669674        -1.1499999999999941      303.3063580585665
4.056850952284903         2.7968052826018166       -0.8999999999999999      303.3368080794989
4.0612380648338515        2.806407117429481        -1.1343750000000048      303.33307825961833
4.040567201091188         3.0247680097102645       -0.8999999999999999      303.3250887699428
3.8026115494513864        2.829726338745381        -0.9                     303.3550668833378
4.102938913721607         3.057330400283245        -1.3375000000000021      303.3142514681234
7.81758681269301          3.7424563055609656       -0.9000000000000001      303.16578572388295
7.612023880416098         3.605105772080368        -1.9                     303.167904735259
8.941232623347672         2.8269688182369537       -0.9                     303.15978383404763
