mkl_pds_lp64_metis_match_rm	0.06s	0.29s	0.70%	3.30%	busbar_example	[unknown]	0	0x7ff6d2d4db4c
mpfem::MphtxtReader::readFile	0.00s	0.29s	0.00%	3.28%	busbar_example	E:\code\cpp\mpfem\src\io\mphtxt_reader.cpp	28	0x7ff6d85f55a1
mpfem::MphtxtReader::read	0.00s	0.29s	0.00%	3.28%	busbar_example	E:\code\cpp\mpfem\src\io\mphtxt_reader.cpp	15	0x7ff6d85f54fd
mkl_pds_lp64_pds_compute_scaled_norm_real	0.20s	0.28s	2.27%	3.19%	busbar_example	[unknown]	0	0x7ff6d33a8be0
mpfem::PardisoSolver::Impl::convertToCSR	0.16s	0.27s	1.81%	3.05%	busbar_example	E:\code\cpp\mpfem\src\solver\pardiso_solver.cpp	40	0x7ff6d895e394
mkl_serv_get_fast_mm_status	0.02s	0.26s	0.18%	2.96%	busbar_example	[unknown]	0	0x7ff6d2af2814
mpfem::HeatTransferSolver::buildRHS	0.00s	0.26s	0.00%	2.89%	busbar_example	E:\code\cpp\mpfem\src\physics\heat_transfer_solver.cpp	94	0x7ff6d866740b
Eigen::SparseMatrix<double,0,int>::operator=	0.00s	0.25s	0.00%	2.76%	busbar_example	E:\code\cpp\mpfem\build-msvc\vcpkg_installed\x64-windows\include\eigen3\Eigen\src\SparseCore\SparseMatrix.h	865	0x7ff6d857af8f
mkl_pds_lp64_reorder2_pardiso	0.06s	0.25s	0.68%	2.76%	busbar_example	[unknown]	0	0x7ff6d2c18553
[00007FFC761226D9]	0.24s	0.24s	2.75%	2.75%	busbar_example		0	0x7ffc761226d9
Eigen::internal::CompressedStorage<double,int>::operator=	0.00s	0.24s	0.00%	2.69%	busbar_example	E:\code\cpp\mpfem\build-msvc\vcpkg_installed\x64-windows\include\eigen3\Eigen\src\SparseCore\CompressedStorage.h	46	0x7ff6d857ac8a
mkl_pds_lp64_mps_pardiso	0.14s	0.23s	1.56%	2.56%	busbar_example	[unknown]	0	0x7ff6d2b2f49f
mpfem::HeatTransferSolver::buildStiffnessMatrix	0.00s	0.22s	0.00%	2.44%	busbar_example	E:\code\cpp\mpfem\src\physics\heat_transfer_solver.cpp	56	0x7ff6d8667ac6
mkl_serv_free	0.00s	0.20s	0.00%	2.25%	busbar_example	[unknown]	0	0x7ff6d2af17e6
mkl_pds_lp64_etep_pardiso	0.20s	0.20s	2.25%	2.25%	busbar_example	[unknown]	0	0x7ff6d2c992f5
mpfem::ConvectionLFIntegrator::assembleFacetVector	0.01s	0.20s	0.11%	2.24%	busbar_example	E:\code\cpp\mpfem\src\assembly\integrators.cpp	213	0x7ff6d86a23c2
mpfem::Problem::~Problem	0.00s	0.20s	0.00%	2.23%	busbar_example	E:\code\cpp\mpfem\src\problem\problem.cpp	11	0x7ff6d85af523
mpfem::SteadyProblem::`scalar deleting destructor'	0.00s	0.20s	0.00%	2.23%	busbar_example	[unknown]	0	0x7ff6d859a409
mpfem::PhysicsFieldSolver::~PhysicsFieldSolver	0.00s	0.19s	0.00%	2.11%	busbar_example	E:\code\cpp\mpfem\src\physics\physics_field_solver.hpp	19	0x7ff6d85971ed
Eigen::SparseMatrix<double,1,int>::collapseDuplicates<Eigen::Map<Eigen::Matrix<int,-1,1,0,-1,1>,16,Eigen::Stride<0,0> >,Eigen::internal::scalar_sum_op<double,double> >	0.18s	0.18s	2.00%	2.00%	busbar_example	E:\code\cpp\mpfem\build-msvc\vcpkg_installed\x64-windows\include\eigen3\Eigen\src\SparseCore\SparseMatrix.h	1491	0x7ff6d8671b01
mkl_pds_lp64_metis_compressgraph	0.12s	0.17s	1.39%	1.92%	busbar_example	[unknown]	0	0x7ff6d2ca4d24
mpfem::StructuralSolver::`scalar deleting destructor'	0.00s	0.17s	0.00%	1.90%	busbar_example	[unknown]	0	0x7ff6d859a4cb
mkl_pds_lp64_ladjun_pardiso	0.04s	0.16s	0.47%	1.80%	busbar_example	[unknown]	0	0x7ff6d2c9ce9a
mpfem::Mesh::buildTopology	0.00s	0.15s	0.00%	1.73%	busbar_example	E:\code\cpp\mpfem\src\mesh\mesh.cpp	288	0x7ff6d8602e3c
[00007FFC76120E4B]	0.14s	0.14s	1.56%	1.56%	busbar_example		0	0x7ffc76120e4b
mpfem::PardisoSolver::`scalar deleting destructor'	0.00s	0.13s	0.00%	1.52%	busbar_example	[unknown]	0	0x7ff6d895e044
mpfem::PardisoSolver::~PardisoSolver	0.00s	0.13s	0.00%	1.52%	busbar_example	E:\code\cpp\mpfem\src\solver\pardiso_solver.cpp	82	0x7ff6d895de82
mkl_pds_lp64_free_c_structure	0.00s	0.13s	0.00%	1.52%	busbar_example	[unknown]	0	0x7ff6d2b0dde0
mpfem::MphtxtReader::parseFile	0.00s	0.13s	0.02%	1.50%	busbar_example	E:\code\cpp\mpfem\src\io\mphtxt_reader.cpp	119	0x7ff6d85f4183
mpfem::PhysicsFieldSolver::initialize	0.00s	0.13s	0.00%	1.46%	busbar_example	E:\code\cpp\mpfem\src\physics\physics_field_solver.hpp	31	0x7ff6d85a580a
mpfem::PhysicsProblemBuilder::buildSolvers	0.00s	0.13s	0.00%	1.46%	busbar_example	E:\code\cpp\mpfem\src\problem\physics_problem_builder.cpp	321	0x7ff6d85a224d
